"<iframe src=""https://player.vimeo.com/video/708654015?h=c69c94c1b9"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",SORTIERUNG,AUSSTELLUNGSTITEL / PROJEKTTITEL (max. 60 ZmL),UNTERTITEL DE (max. 150 ZmL),UNTERTITEL EN (ÜBERNIMMT MAGDALENA)  (max. 150 ZmL),DATUM ,ZEIT START,ZEIT ENDE,ORT (UNI),STOCKWERK,RAUMBEZEICHNUNG  / Zusatz,ADRESSE TITEL,ADRESSE GASSE ,ADRESSE PLZ,ADRESSE MAPS LINK,FORMAT (Festivalprogramm) ,ABTEILUNG,INSTITUT ,TEXT KURZ DE (300-600 ZmL) ,TEXT KURZ EN PROJEKTTEXT (300-600 ZmL) ÜBERNIMMT MAGDALENA,YOUTUBE,VIMEO,SOUNDCLOUD,PROJEKTWEBSITE,NOTIZ HARDFACTS ÜBERSCHRIFT DE,NOTIZ HARDFACTS TEXT DE,NOTIZ HARDFACTS ÜBERSCHRIFT EN ,NOTIZ HARDFACTS TEXT EN ,NOTIZ COPYTEXT ÜBERSCHRIFT DE,NOTIZ COPYTEXT TEXT DE ,NOTIZ COPYTEXT ÜBERSCHRIFT EN,NOTIZ COPYTEXT TEXT EN,AAA (Angewandte Abschluss Arbeiten):, 
11,11,Warum Demokratie?,"Kritische, ironische und analytische Beiträge zu einem hochaktuellen Thema.
Ein Projekt von Studierenden der Klasse für Ideen.","Critical, ironic and analytical contributions to a pressing topic. 
A project by students of the Department of Graphics and Advertising. ","2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,OKP-Ferstel-Trakt,020,Studio 1,,,,,Ausstellung in den zentralen Uni-Gebäuden,Grafik und Werbung,Institut für Design,"Im Rahmen des Projekts „Warum Demokratie?“ werden verschiedenste Aspekte des demokratischen Systems beleuchtet und kommuniziert. Ideen, Informationen, Rückblicke, Einsichten, Vergleiche und Visionen wurden von Studierenden der Klasse für Ideen in verschiedenste Medien übersetzt und zugänglich gemacht. Sie wollen so einerseits auf die Fragilität dieser Regierungsform aufmerksam machen und andererseits zu einer aktiven Auseinandersetzung mit Hintergründen, Vorgängen und Auswirkungen bewegen.","In the “Why Democracy?” project, we examine and communicate various aspects of the democratic system. Students in the “Ideas” class translated ideas, information, retrospective observation, insights, comparisons, and visions into a variety of media and made these accessible. On the one hand, they wish to draw attention to the fragility of this form of government and, on the other, encourage an active discussion of its history, processes, and effects.",,,,,,,,,Beteiligte ,Abteilung Grafik und Werbung (Klasse für Ideen),Contributers,Students of the Department of Graphics and Advertising,,
12,12,Diplomausstellung,Sommersemester 2022,Summer Semester 2022,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,OKP-Ferstel-Trakt,020,Raum 202 + 203,,,,,Ausstellung in den zentralen Uni-Gebäuden,Malerei und Animationsfilm,Institut für Bildende und Mediale Kunst,"Im Rahmen des Festivals präsentieren Felina Beckenbauer und Nayeun Park ihre Diplomarbeiten. In zwei Einzelausstellungen zeigen sie unterschiedliche malerische Zugänge, die zugleich das breite Spektrum der Abteilung widerspiegeln. Details zu den einzelnen Diplomen finden sich unter klassejuditheisler.uni-ak.ac.at/diplome","During the festival, Felina Beckenbauer and Nayeun Park will present their diploma projects: two different approaches to painting in two solo exhibitions that reflect the department’s broad spectrum. Details on the individual diplomas can be found at klassejuditheisler.uni-ak.ac.at/diplome",,,,,,,,,,,,,"Felina Beckenbauer, Nayeun Park",
13,13,REALITY AND OTHER IMPOSSIBLE THINGS,,,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,OKP-Ferstel-Trakt,020,Raum 201 ,,,,,Ausstellung in den zentralen Uni-Gebäuden,Malerei und Animationsfilm,Institut für Bildende und Mediale Kunst,"Was, wenn wir das Unmögliche, den Traum und die Fantasie nicht als philosophischen Gegenbegriff von Wirklichkeit verstehen, sondern vielmehr als Feedback-Loop und Einstieg in mögliche weitere Realitäten?
Unter dem Titel „Reality and other impossible things“ versammelt Kuratorin Nora Mayr zarte und laute, humorvolle und imaginäre Wirklichkeitswelten der Studierenden der Klasse für Malerei und Animationsfilm. In einer spielerischen Anordnung aus Animation, Skulptur und Malerei verweben sich hier Visionen von fantastischen Tiergestalten, entblößter Liebe und verworfenen Granatäpfeln.","What would happen if we understood the impossible, the dream, and fantasy not as philosophical counter-concepts of reality, but rather as a feedback loop and entry point into other possible realities? Under the title “Reality and Other Impossible Things,” curator Nora Mayr brings together the tender, loud, humorous, and imaginary worlds of students of painting and animation film. The exhibition takes shape as a playful arrangement of animation, sculpture, and painting in which visions of fantastical animal figures, exposed love, and discarded pomegranates are interwoven.",,,,,,,,,Beteiligte ,Studierende der Abteilung Malerei und Animationsfilm,Contributers,Students of the Department of Painting and Animated Film,"Felina Beckenbauer, Nayeun Park",
14,14,In einer dunklen Nacht ging ich aus meinem stillen Haus,,,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,OKP-Ferstel-Trakt,020,SR 4 + SR 5 (im OKP-Zwischentrakt),,,,,Ausstellung in den zentralen Uni-Gebäuden,TransArts,Institut für Bildende und Mediale Kunst,"„Es wurde jetzt so still, daß er sich für die paar kaum wahrnehmbaren Laute, meist aus dem Erdinneren heraus, unwillkürlich die Hand ans Ohr hielt. Wenn ein Windhauch durch das dürre Wachstum ging, gab das ein leises Klingeln, wie beim Umblättern eines Dünndruckpapiers.“
Die Ausstellung „In einer dunklen Nacht ging ich aus meinem stillen Haus“ wird sich in mehreren Klanginstallationen und einer Live-Performance auf verschiedensten Wegen den Stimmungslagen von Peter Handkes gleichnamigem Buch nähern.","“Now it grew so quiet that he involuntarily cupped his hand to his ear to catch the few almost imperceptible sounds, mostly from inside the earth. When a breath of wind passed through the dry vegetation, it produced a slight ringing, like the sound of onionskin pages being turned.” In various ways, the exhibition “On a Dark Night I Left My Silent House” approaches the various atmospheres in Peter Handke’s eponymous book in several sound installations and a live performance. ",,,,,,,,,Beteiligte ,"Studierende der Abteilung TransArts, kuratiert von Richard Eigner",Contributers,"Students of the Department of TransArts, curated by Richard Eigner",,
15,15,Seelenergänzungsmittel,Bei Intuitionsstörungen und Nebelwirkungen fragen Sie,"In case of intuition disorders and fog effects please consult

","2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,OKP-Ferstel-Trakt,020,SR 6 (im OKP-Zwischentrakt),,,,,Ausstellung in den zentralen Uni-Gebäuden,Gender Art Lab,,"Ich so: Ich hab Intuitionskreisel. Du so: Ich hab Nebelkopfentzündung. Wir so: Herzwettrennen? Wir spielen Twister, synchronisieren Perilymphe und ergänzen unsere Seelen. Nehme Seelenergänzungsmittel bei Körperverlust. Fehlgeleitete Intuition. Vertigo.","So I’m like: I have these intuition whirligigs. And you’re like: brain fog inflammation. We’re like: a heart race? We play Twister, sync our perilymph, and complement our souls. We take soul supplements for body loss. Misguided intuition. Vertigo.",,,,,,,,,Beteiligte ,"Lorenz Adlassnig, Katya Dimova, Daniel Gordillo, Luna Maluna Gri, Vanessa Hähnel, Theresa Hajek, Paula Leona Klein, Christa Knott, Clara Kühn, Hannah Lex, Johanna Lindner, Lina Marangattil, Wolf Miksits, Arina Nekliudova, Leyli Nouri, Laura S. Oyuela, Simon Platzgummer, Michael Plessl, Ana Pluhar, Waleria Sadkow, Florian Schinnerl, Teresa Trimmel, Nanna Erika Troldborg",Contributers,"Lorenz Adlassnig, Katya Dimova, Daniel Gordillo, Luna Maluna Gri, Vanessa Hähnel, Theresa Hajek, Paula Leona Klein, Christa Knott, Clara Kühn, Hannah Lex, Johanna Lindner, Lina Marangattil, Wolf Miksits, Arina Nekliudova, Leyli Nouri, Laura S. Oyuela, Simon Platzgummer, Michael Plessl, Ana Pluhar, Waleria Sadkow, Florian Schinnerl, Teresa Trimmel, Nanna Erika Troldborg",,
16,16,Unknown Polyphenism,,,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,OKP-Schwanzer-Trakt,004,Plakatwände  am Oskar-Kokoschka-Platz bis 2022-06-30,,,,,Ausstellung in den zentralen Uni-Gebäuden,Angewandte Fotografie und zeitbasierte Medien,Institut für Design,"Im Projekt „Unknown Polyphenism“ wird auf fiktionaler Ebene die Veränderung der Lebensbedingungen unserer Folgegeneration dargestellt.
Ausgehend von Verhaltensweisen, Transformation und Zukunftsängsten entstanden fotografische Inszenierungen, welche mögliche Szenarien zeichnen.","The project “Unknown Polyphenism” presents fictional treatments of the next generation’s changed living conditions. Photographic orchestrations based on behavior, transformation, and anxieties about the future depict potential scenarios.",,,,applied-photography.at,,,,,,,,,Philip Tsetinis,
17,17,THINGS,Annäherungen zum Verhältnis der Fotografie zu Dingen,Approaches to the relationship of photography to things,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,OKP-Schwanzer-Trakt,004,Plakatwände  am Oskar-Kokoschka-Platz  ab 2022-06-30 + Studio (4. OG),,,,,Ausstellung in den zentralen Uni-Gebäuden,Angewandte Fotografie und zeitbasierte Medien,Institut für Design,"function / construction / metaphor / privacy / invention / texture / witness / fetish / ritual / memory / volume / forensic / terms of condition / origin / copy / product / status / desire / speculation / history / artefact / evidence / prop / joke
Ein Kooperationsprojekt der Abteilung Angewandte Fotografie und zeitbasierte Medien und der Kunstsammlung und Archiv als Plakate am Oskar-Kokoschka-Platz. ","function / construction / metaphor / privacy / invention / texture / witness / fetish / ritual / memory / volume / forensic / terms of condition / origin / copy / product / status / desire / speculation / history / artefact / evidence / prop / joke. 
A cooperative project as poster exhibition of the department of Applied Photography and Time-Based Media and the Art Collection and Archive at Oskar-Kokoschka-Platz.",,,,applied-photography.at,,,,,Beteiligte ,Studierende der Abteilung Angewandte Fotografie und zeitbasierte Medien,Contributers,Students of the Department of Applied Photography and Time-Based Media,,Achtung Ortsangabe
18,18,Expanding the Possible,Design Investigations – From Multi-Species Care to Deep Time ,Design Investigations – From Multi-Species Care to Deep Time ,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,OKP-Schwanzer-Trakt,004,Studio,,,,,Ausstellung in den zentralen Uni-Gebäuden,Industrial Design 2,Institut für Design,"Was kann Design? In „Expanding the Possible“ stellen wir uns die neuen Rollen vor, die Designer*innen bei der Gestaltung unserer Zukunft spielen werden.
Von der Gestaltung für gefährdete Gruppen bis hin zu Spielplätzen für nichtmenschliche Spezies – wir feiern unsere jungen Designer*innen als engagierte Bürger*innen. Und zusammen mit dem Naturhistorischen Museum Wien spekulieren wir über 2,1 Milliarden Jahre alternativer Evolution.
In einer ungewissen Welt ist es wichtig, sich mit einem breiten Spektrum an Themen auseinanderzusetzen. Nur so können wir den Wandel herbeiführen, den wir uns wünschen.","What can design do? In “Expanding the Possible,” we re-imagine the new roles designers will play in shaping our futures. From designing for our city’s vulnerable groups to playgrounds for non-human species, we celebrate our young designers as socially committed citizens. And in partnership with the Natural History Museum in Vienna, we speculate over 2.1 billion years of alternative planetary evolution. In today’s deeply uncertain world, it’s important for designers to directly engage with a wide scope of topics. Only through such engagement can we bring about the change we’d like to see.",,,,,,,,,Beteiligte ,Studierende der Abteilung Industrial Design 2 (Design Investigations),Contributers,Students of the Department of Industrial Design 2 (Design Investigations),"Sarah Franzl, Lucy Li",
19,19,"Between 12m2 Urbanity, Wasted Time and the Disappearing Cow",,,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,OKP-Schwanzer-Trakt,004 ,Studio + Innenhof,,,,,Ausstellung in den zentralen Uni-Gebäuden,Industrial Design 1,Institut für Design,"Die id – Abteilung für Industrial Design 1 beschäftigt sich mit aktuellen gesellschaftlich relevanten Themen. So sind die entstandenen Arbeiten Eingriffe, Kommentare, Reflexionen und funktionale Übersetzungen stattfindender Strömungen und Ereignisse. Für das Festival weitgehend in ihrem Anwendungskontext gezeigt werden die Projekte „Angewandte Minimal Waste“, „12 m2 urbanity“, „Age“, „Wiener Speisen“, „Photovoltaik“, Diplomprojekte, sowie eine Gestaltung und Strukturierung des Klassenraumes in Zusammenarbeit mit der Firma Hay.","The Industrial Design 1 department works on topics that are current and socially relevant. The ensuing works take the form of interventions, commentaries, reflections, and functional translations of actual trends and events. For the festival, the following projects will be shown for the most part in the context of their application: minimal waste, 12 m2 urbanity, aging, Viennese dishes, photovoltaics, diploma projects, and a design and structuring of the loft-like classroom in cooperation with the design brand Hay.",,,,,,,,,Beteiligte ,Studierende und Lehrende der Abteilung Industrial Design 1,Contributers,Students and teaching staff of the Department of Industrial Design 1,,
20,20,"Anti-Anti-Anti: de-visibility, unbiased biases and friends.",,,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,OKP-Schwanzer-Trakt,004,Hofatelier + Steinsaal ,,,,,Ausstellung in den zentralen Uni-Gebäuden,Transmediale Kunst,Institut für Bildende und Mediale Kunst,"Die groß angelegte, verzerrende Meinungsmanipulation durch Medien und soziale Netzwerke hat auf internationaler Ebene eine neue Sichtbarkeit erlangt.  Das Bewusstsein um diese hat deren Erfolg allerdings nicht geschmälert. Sie nährt sich aus der allgemeinen Unzufriedenheit, einer Schleife voreingenommener „Anti-anti-anti“-Haltungen. Die Zersplitterung der öffentlichen Meinung, die Hetze gegen ausgebeutete und unterdrückte Gruppen, Verschwörungsmythen und Lügen sind Teil unseres täglichen Lebens geworden. Umgekehrt sind kulturelle Strategien wie Dunkelheit und Undurchlässigkeit als Mittel eingesetzt worden, um hegemonialer Propaganda und Populismus entgegenzuwirken.","The large-scale, biased manipulation of public opinion by the media and social networks has reached a new level of international visibility. Yet awareness of this manipulation has not diminished its success. It has fed on widespread dissatisfaction and on a loop of biased oppositional attitudes. Fragmentation, agitation against exploited and oppressed groups, conspiracy theories, and lies have become part of our everyday lives. Inversely, these oppressed groups have implemented cultural strategies of darkness and opaqueness as a tool to counter hegemonic propaganda and populism.",,,,,,,,,Beteiligte ,"Aaron-Amar Bhamra, Aleksandar Gabrovski, Anna Mutschlechner-Dean, Francesca Centonze, Gala Alica Ostan Ožbolt, Iris Writze, Jana Marie Kolbert, Johannes Hartmann, Maria Belova + Maria Rudakova, Marlene Stahl, Michael Schmidl, Natallia Yelavik, Patrícia Chamrazová, Samuel Minegibe Ekeh, Kashi Meyer ",Contributers,"Aaron-Amar Bhamra, Aleksandar Gabrovski, Anna Mutschlechner-Dean, Francesca Centonze, Gala Alica Ostan Ožbolt, Iris Writze, Jana Marie Kolbert, Johannes Hartmann, Maria Belova + Maria Rudakova, Marlene Stahl, Michael Schmidl, Natallia Yelavik, Patrícia Chamrazová, Samuel Minegibe Ekeh, Kashi Meyer ",,Achtung Ortsangabe
21,21,The I oA Floats,Eine Reihe von Vehikeln begleiten das Festival und stellen die Arbeiten des Studienjahres am I oA einem breiteren Publikum vor.,A series of vehicles roam the Festival finding opportunities to present the work produced in this academic year to the larger public.,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,OKP-Schwanzer-Trakt,010 + 020,"Studio, Raum 112 + 2. OG, Raum 217, 218, 219  + öffentlicher Raum",,,,,Ausstellung in den zentralen Uni-Gebäuden,"Architekturentwurf 1, Architekturentwurf 2, Architekturentwurf 3",Institut für Architektur,"Draußen auf den Straßen, am Oskar-Kokoschka-Platz, im SQUARE des Instituts für Architektur, im Innenhof, in den Architektur-Studios oder auch an diversen anderen Orten im ganzen Haus - der diesjährige Beitrag des I oA besteht aus einer Reihe von mobilen Ausstellungsflächen, die das Festival durchstreifen, um die Arbeiten eines akademischen Jahres am I oA einer breiten Öffentlichkeit zu präsentieren.","Out in the streets, on Oskar-Kokoschka-Platz, and in the SQUARE, courtyard, studios, corridors, or anywhere else—the I oA contribution for this year’s Angewandte Festival is a series of vehicles that roam the festival, searching out opportunities to present the work produced during the academic year to a larger public.",,,,ioa.angewandte.at,,,,,Beteiligte ,Absolvent*innen des Instituts für Architektur,Contributers,Graduates of the Institute of Architecture,"Architekturentwurf 1, studio díazmoreno garcíagrinda: Katja Banovic, Ana Maria Chiriac, Patrik Drechsler, Xavier Madden, Iga Mazur, Mikhail Nemkov, Daniil Zhiltsov 
Architekturentwurf 2, Studio Greg Lynn:  Anahita Dehlavi, Wing Yan Joyce Lee
Architekturentwurf 3, Studio Hani Rashid: Emma Sanson, Patricia Tibu, Jingjit Witchaya, Zhiyi Zhang",
22,22,Produktive Unterbrechung (II),Abschlussarbeiten und Open Studio der Abteilung TransArts ,Graduation projects and Open Studio of the Department of TransArts ,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,OKP-Schwanzer-Trakt,010,STAR 8 + weitere Räume VZA 7,,,,,Ausstellung in den zentralen Uni-Gebäuden,TransArts,Institut für Bildende und Mediale Kunst,"Die ästhetische Praxis wird im Kontext der Ausstellung Produktive Unterbrechung als Wissensform verstanden, welche die Realität nicht nur beschreibt und/oder visualisiert, sondern sie auch formt. Es geht um das permanente Abwägen von inhaltlichen Frage- und Problemstellungen, um das Einerseits und das Andererseits; [...] es geht um Widerspruch, um den Gegensatz zwischen bestimmten Manifestationsformen und den dahinterliegenden Systemen – und es geht nicht zuletzt um eine produktive Unterbrechung all dessen. 

","In the exhibition “Productive Interruption,” aesthetic practice is regarded as a form of knowledge that not only describes and/or visualizes reality, but also shapes it. It’s about an ongoing process of weighing thematic questions and problems, of a simultaneity of possibilities; [. . .] it’s about contradiction and the contrast between particular forms of manifestation and the systems underlying them—and ultimately, a productive interruption of it all. ",,,,,,,,,,,,,Anna Pelz,
23,23,Diplome Digitale Kunst,,,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,OKP-Schwanzer-Trakt,010,STAR 9,,,,,Ausstellung in den zentralen Uni-Gebäuden,Digitale Kunst,Institut für Bildende und Mediale Kunst,Präsentation einer aktuellen Diplomarbeit aus dem Sommersemester 2022 im Studierenden-Arbeitsraum 9 (STAR 9). Weitere Diplome in der Hauptausstellung sowie in den Räumen der Abteilung Digitale Kunst.,Presentation of a current diploma thesis from the summer semester 2022 in student workroom no. 9 (STAR 9). Additional diplomas in the main exhibition and in the rooms of the Digital Art department.,,,,,,,,,,,,,Magdalena Marie Friedl,
24,24,FotoTOPOS,,,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,OKP-Schwanzer-Trakt,030,Studio + Räume der Abteilung Fotografie,,,,,Ausstellung in den zentralen Uni-Gebäuden,Fotografie,Institut für Bildende und Mediale Kunst,"Zwischen Mimesis und Mock-up materialisierte Arbeitsumgebungen der fotografischen Produktion: Im Hellraum der Fotoklasse wird die Oberfläche eines digitalen Bildbearbeitungsprogramms gegenständlich. Die Dunkelkammer, sonst hermetischer Arbeitsraum, wird zum performativen Schauplatz, fotografisches Equipment zur Akteurin.","Materialized working environments of photographic production somewhere between mimesis and mock-up: in the photography class light room, the surface of a digital image processing program becomes concrete. The darkroom, otherwise a hermetic workspace, transforms into a performative setting, the photographic equipment into an actor. ",,,,,,,,,Beteiligte ,Studierende der Abteilung Fotografie,Contributers,Students of the Department of Photography,,
25,25,Re . Pairing . Future (II),Die Abteilung Digitale Kunst auf dem Angewandte Festival 2022,The Department of Digital Arts at the Angewandte Festival 2022,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,OKP-Schwanzer-Trakt,030,STAR 4,,,,,Ausstellung in den zentralen Uni-Gebäuden,Digitale Kunst,Institut für Bildende und Mediale Kunst,Im Rahmen des Angewandte Festivals 2022 zeigt die Digitale Kunst unter dem Titel Re . Pairing . Future aktuelle Studierendenprojekte für verschiedene räumliche und situative Settings.,"As part of the Angewandte Festival 2022, the Department of Digital Arts will be exhibiting current student projects for diverse spatial and situational settings under the title “Re . Pairing . Future.”",,,,,,,,,Beteiligte ,Demian Thirst – Studierender der Abteilung Digitale Kunst,Contributers,Demian Thirst – student of the Department of Digital Art,,
26,26,norm,,,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,OKP-Schwanzer-Trakt,030,STAR 5,,,,,Ausstellung in den zentralen Uni-Gebäuden,Angewandte Fotografie und zeitbasierte Medien,Institut für Design,"Die Arbeit „norm“ beschäftigt sich mit unterschiedlichen Verwaltungseinrichtungen der Stadt Wien. Innenraumaufnahmen zeigen die Gestaltung und Ausstattung dieser speziellen Architektur. Die einzelnen Räume stehen nicht repräsentativ für den jeweiligen Ort, sondern für einen Typus. Gezeigt wird eine Seriel, an der sich ein ästhetisches Programm der öffentlichen Hand ablesen lässt.","The work “norm” addresses various administrative facilities in the city of Vienna. Interior shots reveal the design and furnishings of this particular type of architecture. The individual rooms do not represent the respective location, but are of a generic type. On view is a series in which an aesthetic program authored by the public sector can be gleaned. ",,,,applied-photography.at,,,,,,,,,Lea Sonderegger,
27,27,"Produktive Unterbrechung (III)
 ",Abschlussarbeiten und Open Studio der Abteilung TransArts ,Graduation projects and Open Studio of the Department of TransArts ,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,OKP-Schwanzer-Trakt,040,B 2 + weitere Räume VZA 7,,,,,Ausstellung in den zentralen Uni-Gebäuden,TransArts,Institut für Bildende und Mediale Kunst,"Die ästhetische Praxis wird im Kontext der Ausstellung ""Produktive Unterbrechung"" als Wissensform verstanden, welche die Realität nicht nur beschreibt und/oder visualisiert, sondern sie auch formt. Es geht um das permanente Abwägen von inhaltlichen Frage- und Problemstellungen, um das Einerseits und das Andererseits; [...] es geht um Widerspruch, um den Gegensatz zwischen bestimmten Manifestationsformen und den dahinterliegenden Systemen – und es geht nicht zuletzt um eine produktive Unterbrechung all dessen. 

","In the exhibition “Productive Interruption” aesthetic practice is regarded as a form of knowledge that not only describes and/or visualizes reality, but also shapes it. It’s about an ongoing process of weighing thematic questions and problems, of a simultaneity of possibilities; [. . .] it’s about contradiction and the contrast between particular forms of manifestation and the systems underlying them—and ultimately, a productive interruption of it all. ",,,,,,,,,,,,,Maleen Neuenhofer,
28,28,The Blue Project,,,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,OKP-Schwanzer-Trakt,040,Studio,,,,,Ausstellung in den zentralen Uni-Gebäuden,Mode,Institut für Design,"Die Studierenden der Modeklasse haben Entwürfe umgesetzt, die auf die Farbe Klein Blue reagieren. Sie haben die Farbe auf ihre ganz persönliche Weise erforscht und so interpretiert, dass sie mit ihren aktuellen Projekten korrespondiert.
Alle Outfits werden als Installation im Studio der Modeklasse gezeigt.","The students in the Fashion class created designs responding to the color Klein Blue. They explored the color in their own personal way and interpreted it to correspond to their current projects. 
All outfits are shown as an installation in the Fashion class studio. ",,,,,,,,,Beteiligte ,Studierende der Abteilung Mode,Contributers,Students of the Department of Fashion,"Fritz Haßler, Tina Lichtenstöger",
29,29,Research Showcase,,,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,OKP-Schwanzer-Trakt,040,Studio,,,,,Ausstellung in den zentralen Uni-Gebäuden,Mode,Institut für Design,"Während des heurigen Studienjahres nahmen Studierende aus dem dritten und Diplom-Jahr der Modeklasse an einem intensiven Forschungsprojekt teil, das sie ermutigte, die theoretischen, historischen, kulturellen und kontextuellen Aspekte ihrer künstlerischen Praxis zu hinterfragen. Die intensive Forschungsarbeit der Studierenden führte zur Erstellung eines Research Books, das die Breite und Tiefe ihrer Recherche bezeugt. Die Research Books von Martyna Bierut, Alissa Herbig, Shuzo Matsuhashi und Pouran Parvizi werden als Künstler*innenbücher beim Angewandte Festival präsentiert.","Throughout the past academic year, third- and graduate-year Fashion students took part in an in-depth research project that encouraged them to interrogate the theoretical, historical, cultural, and contextual aspects of their artistic practice. The students' intense research resulted in the creation of a comprehensive research book testifying to the breadth and depth of their inquiry. Artists’ books by Martyna Bierut, Alissa Herbig, Shuzo Matsuhashi, and Pouran Parvizi will be presented at the Angewandte Festival.",,,,,,,,,Beteiligte ,Studierende der Abteilung Mode,Contributers,Students of the Department of Fashion,,
